trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,target.started,cue_arrow.stopped,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
83,invalid,left,100,150,1000,29,29,0,z,1,0.12379229097859934,None,0,29,29,82,54.3409874169738,,,,,,,,,54.33186158398166,54.3409874169738,54.3409874169738,54.3409874169738,54.83039625000674,54.83039625000674,54.83039625000674,54.83039625000674,54.930922416970134,54.92421770899091,55.07964091701433,55.2090989589924,z,1,0.12379229097859934,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
1,invalid,left,150,150,1000,30,30,0,z,1,0.1369412500062026,None,0,30,30,0,55.220372708979994,,,,,,,,,55.2102274170029,55.220372708979994,55.220372708979994,55.220372708979994,55.70708249998279,55.7127885419759,55.7127885419759,55.7127885419759,55.80711950000841,55.84613991697552,56.00749966700096,56.1484561249963,z,1,0.1369412500062026,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
72,invalid,left,100,150,1000,31,31,0,z,1,0.2185844579944387,None,0,31,31,71,56.159981333999895,,,,,,,,,56.149388917023316,56.159981333999895,56.159981333999895,56.159981333999895,56.64731087500695,56.65707424998982,56.65707424998982,56.65707424998982,56.747104958980344,56.740763875015546,56.89668549998896,57.12609704199713,z,1,0.2185844579944387,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
58,invalid,left,150,150,1000,32,32,0,z,1,0.18035862501710653,None,0,32,32,57,57.13683962501818,,,,,,,,,57.12714229198173,57.13683962501818,57.13683962501818,57.13683962501818,57.62380933400709,57.6302849589847,57.6302849589847,57.6302849589847,57.72376937500667,57.76241508399835,57.92403574998025,58.10903133399552,z,1,0.18035862501710653,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
67,invalid,right,100,150,1000,33,33,0,m,1,0.1838186249951832,None,0,33,33,66,58.12308824999491,,,,,,,,,58.1144449589774,58.12308824999491,58.12308824999491,58.12308824999491,58.60708595899632,58.61217591702007,58.61217591702007,58.61217591702007,58.70708141697105,58.69591866701376,58.857518874981906,59.04791912500514,m,1,0.1838186249951832,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
89,invalid,left,150,150,1000,34,34,0,z,1,0.15781170799164101,None,0,34,34,88,59.06086916697677,,,,,,,,,59.05300333397463,59.06086916697677,59.06086916697677,59.06086916697677,59.54767483397154,59.557322125008795,59.557322125008795,59.557322125008795,59.64760995900724,59.691069833992515,59.84659824997652,60.00900083401939,z,1,0.15781170799164101,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
9,valid,left,50,150,1000,35,35,0,z,1,0.19481891702162102,None,0,35,35,8,60.02288991701789,,,,,,,,,60.014191334019415,60.02288991701789,60.02288991701789,60.02288991701789,60.50726791698253,60.51258120901184,60.51258120901184,60.51258120901184,60.60698612499982,60.545657959009986,60.707524958997965,60.909419083967805,z,1,0.19481891702162102,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
88,valid,right,150,150,1000,36,36,0,m,1,0.11958416603738442,None,0,36,36,87,60.92306554201059,,,,,,,,,60.914603292010725,60.92306554201059,60.92306554201059,60.92306554201059,61.407143874967005,61.413153791974764,61.413153791974764,61.413153791974764,61.507280458987225,61.54672604199732,61.70775683398824,61.83118362497771,m,1,0.11958416603738442,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
47,invalid,right,150,150,1000,37,37,0,m,1,0.1622049169964157,None,0,37,37,46,61.84366758400574,,,,,,,,,61.83572816697415,61.84366758400574,61.84366758400574,61.84366758400574,62.33113495900761,62.34084700001404,62.34084700001404,62.34084700001404,62.43095095898025,62.480551333981566,62.629987208987586,62.79991066700313,m,1,0.1622049169964157,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
71,invalid,right,100,150,1000,38,38,0,m,1,0.18456816696561873,None,0,38,38,70,62.809500583971385,,,,,,,,,62.80073087499477,62.809500583971385,62.809500583971385,62.809500583971385,63.29714566702023,63.30751733400393,63.30751733400393,63.30751733400393,63.397284624981694,63.3909848749754,63.54667295899708,63.74284520896617,m,1,0.18456816696561873,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
